17/07/2023 18:20:25 Vitor Cadastrou -> VC73483 
17/07/2023 18:21:06 Vitor Cadastrou -> VC83111 
17/07/2023 18:33:45 Vitor Cadastrou -> VC73681 
17/07/2023 18:34:29 Vitor Cadastrou -> VC83608 
17/07/2023 19:04:26 Vitor Cadastrou -> VC73228 
17/07/2023 19:04:59 Vitor Cadastrou -> VC83471 
17/07/2023 19:15:46 Vitor Cadastrou -> VC73874 
17/07/2023 19:16:24 Vitor Cadastrou -> VC83212 
17/07/2023 19:23:33 Vitor Cadastrou -> VC73111 
17/07/2023 19:24:17 Vitor Cadastrou -> VC83172 
17/07/2023 19:28:54 Vitor Cadastrou -> VC73559 
17/07/2023 19:29:29 Vitor Cadastrou -> VC83240 
17/07/2023 19:36:01 Vitor Cadastrou -> VC74079 
17/07/2023 19:36:38 Vitor Cadastrou -> VC83477 
17/07/2023 19:55:52 mateus Cadastrou -> VC73106 
17/07/2023 19:56:32 Vitor Cadastrou -> VC73921 
17/07/2023 19:57:37 Vitor Cadastrou -> VC83241 
17/07/2023 19:57:53 mateus Cadastrou -> VC83096 
17/07/2023 19:59:48 mateus Cadastrou -> VC73783 
17/07/2023 20:00:24 mateus Cadastrou -> VC83157 
17/07/2023 20:02:57 Vitor Cadastrou -> VC73971 
17/07/2023 20:03:32 Vitor Cadastrou -> VC83611 
17/07/2023 20:13:17 Vitor Cadastrou -> VC73703 
17/07/2023 20:13:54 Vitor Cadastrou -> VC83150 
17/07/2023 20:30:43 mateus Cadastrou -> VC74083 
17/07/2023 20:31:42 Vitor Cadastrou -> VC33508 
17/07/2023 20:32:37 Vitor Cadastrou -> VC83106 
17/07/2023 20:34:54 mateus Cadastrou -> VC83480 
17/07/2023 20:35:49 mateus Cadastrou -> VC73834 
17/07/2023 20:36:38 mateus Cadastrou -> VC83219 
17/07/2023 20:36:46 Vitor Cadastrou -> VC73141 
17/07/2023 20:37:49 Vitor Cadastrou -> VC83076 
17/07/2023 20:46:37 mateus Cadastrou -> VC74085 
17/07/2023 20:47:23 mateus Cadastrou -> VC83487 
17/07/2023 20:51:39 Vitor Cadastrou -> VC73718 
17/07/2023 20:52:15 Vitor Cadastrou -> VC83210 
17/07/2023 20:53:49 mateus Cadastrou -> VC74088 
17/07/2023 20:54:38 mateus Cadastrou -> VC83609 
17/07/2023 20:59:28 Vitor Cadastrou -> VC73986 
17/07/2023 21:00:12 Vitor Cadastrou -> VC83493 
17/07/2023 21:04:07 mateus Cadastrou -> VC74087 
17/07/2023 21:05:00 mateus Cadastrou -> VC83596 
17/07/2023 21:05:36 Vitor Cadastrou -> VC73716 
17/07/2023 21:06:11 Vitor Cadastrou -> VC83089 
17/07/2023 21:09:33 mateus Cadastrou -> VC74082 
17/07/2023 21:10:16 mateus Cadastrou -> VC83591 
17/07/2023 21:11:46 Vitor Cadastrou -> VC73699 
17/07/2023 21:12:15 Vitor Cadastrou -> VC83466 
17/07/2023 21:19:24 Vitor Cadastrou -> VC73855 
17/07/2023 21:20:02 Vitor Cadastrou -> VC83205 
17/07/2023 21:24:18 mateus Cadastrou -> VC74081 
